point_id,source,page_content,videos
002ea009-d044-4b38-9e5c-32362d937481,https://www.maxwellgeosystems.com/manuals/demo-manual/manual-web-content-highlight.php?manual_id=41,". The graph shows a comparison of Files processed in Binder and processed Error Files in Binder . Graph only shows previous 48 hours file count. ![image:db://images/576](db://images/576) Figure 9: On clicking Binder Overview button Loader Overview button – click to see the graph overview. The graph in the following example shows Files processed in Loader based on previous 48 hours file count. ![image:db://images/577](db://images/577) Figure 10: On clicking Loader Overview button Another method of processing file, is to upload the file in Binder directly. For this, go to Instrumentation > Data > Load Data Files . Load Data Files > Upload Files tab Firstly, download the template file. Enter data and upload by clicking MGS Standard Template button. GDL Compliant File button – click the button, then select a file from your system. Choose the relevant GDL configuration name for that file from the drop-down – the configuration must already exist. The file then goes directly to the Binder",[]
00d79ca5-e021-47a4-9742-8775f122ad66,https://www.maxwellgeosystems.com/manuals/demo-manual/manual-web-content-highlight.php?manual_id=41,". Click the Add New Schedule button. The Report Scheduler pop-up appears. ![image:db://images/277](db://images/277) Figure 4: Click Add New Schedule button In the Report Scheduler pop-up, perform the following steps: Enter the Title of the Report Scheduler. Select the Data Type . Select the Instrument Type . Choose the Start On and End On date for the desired range Select from the following Recurring options: Daily Hours (Once you select the option, enter the number of hours) Minutes (Once you select the option, enter the number of minutes) Select the Method as Email . Click Save . Note : After a Setup or Daily Data File gets uploaded, based on the Recurring time chosen, (if say 5 minutes) 2 crons runs every 5 minutes. There are two crons each for setup file and daily data file. Once setup file is uploaded, 2 crons for setup file starts working. After 5 minutes, Email gets sent to the user. The email has the link to retrieve the CSV file, from where you can download the file. If within 5 mins no upload happens, there will be no email sent. ![image:db://images/278](db://images/278) Figure 5: Scheduling the File download through Email ![image:db://images/279](db://images/279) Figure 6: Scheduling the file download If you select the Method as FTP in Report Scheduler : Enter the FTP HOST address. Then enter the DDF Directory path. Type in the Username and Password of FTP. Finally, click Save . The setup or data files gets stored in the DDF Directory . You can download the CSV Report from this Directory. ![image:db://images/280](db://images/280) Figure 7: Scheduling the file download through FTP To watch the Web User Manual video on How to automate CSV Report Download , simply click on the thumbnail or link below:",[]
0106827c-a157-447f-95cf-c1ae25bbc3db,https://www.maxwellgeosystems.com/manuals/demo-manual/manual-web-content-highlight.php?manual_id=41,"The plot type can be chosen from the list displaying line, scatter, column, and polar. ![image:db://images/646](db://images/646) Figure 6: Plot Type selection Select “Need to add axis text” checkbox to add text for the positive and negative axis of the graph. The text box for axis 1 and axis 2 are displayed. Enter the required wording in the text box. Axis text 1 is displayed along the downward axis direction and Axis text 2 box is displayed along the upward axis direction. Click Preview to preview the graph. If no text is entered, only arrow (direction) marks are displayed. For Type 1,2,3 the axis text is displayed vertically to the left of the graph, whereas for type 4 the axis text is displayed horizontally above the graph. ![image:db://images/647](db://images/647) Figure 7: Adding axis text To hide the text from the axis, deselect the “Need to add axis text” checkbox",[]
0229676d-ad7f-4b1e-9fd9-3b78fa914c97,https://www.maxwellgeosystems.com/manuals/demo-manual/manual-web-content-highlight.php?manual_id=41,". Return to Report Creation > Canvas Sheets window. In the Canvas Sheets interface, Click open the Summary Select the Selected Subtype The Consolidated Summary panel opens. Type the Title Name . Select the Last Number of Days and enter the days. (This must be the same as the No of Dates to display selected for Table Generator while saving it.) Select from Project and other dropdown options based on requirement. Click Add Summary Element ![image:db://images/254](db://images/254) Figure 17: Adding Summary Element In the Edit Canvas Sheet window, perform the following steps: Enter the Title name and other fields. Drag the created element to the area from the list of elements on the left. Adjust the element within the area. Click Save . Refer to the figure below to view the steps in creating canvas sheet and adding summary element to the sheet: ![image:db://images/255](db://images/255) Figure 18: Creating Canvas Sheet with the Summary element As the Canvas Sheet is created, click Preview . ![image:db://images/256](db://images/256) Figure 19: Click the Preview button In the pop-up that appears, Enter Reference Date , which is data covering 7 days prior to the date that you enter. Click Preview . ![image:db://images/257](db://images/257) Figure 20: Enter Reference Date",[]
028eac0f-d0d6-4be7-a58a-748ab5f3cb67,https://www.maxwellgeosystems.com/manuals/demo-manual/manual-web-content-highlight.php?manual_id=41,". If no folder is specified, they are dealt with in the same manner as any other file; the user can also create a directory in the source where these files can be stored. ![image:db://images/717](db://images/717) Figure 3: Puller Error File Handling When the Source configuration is complete, you can test the connection and then save the information. ![image:db://images/718](db://images/718) Figure 4: Test Connection and Save To watch the Web User Manual video on Source Configurations , simply click on the thumbnail or link below: To watch the Web User Manual video on File Management Methods for Source Configuration , simply click on the thumbnail or link below: To watch the Web User Manual video on How to automate GDL Loader , simply click on the thumbnail or link below:",[]
02b93607-d75a-4e44-990f-ca9ed7580969,https://www.maxwellgeosystems.com/manuals/demo-manual/manual-web-content-highlight.php?manual_id=117,"You can set up instruments in two ways based on the number of instruments involved in set up. Instruments can be setup singly using the interface Instrument, in the Setup tab of the Instrumentation menu. In the case of multiple instruments, you can use the loading process in the Loading interface of the Setup tab. Once you load the setup file, next procedure is to load the calibration file. In the Download Data tab, you have the ability to download any type of files including – Setup File, Daily Data File and Calibration File as per your requirements. In this user manual, you can find information on how to download any of these files for the instrument of your choice","[{'url': 'https://www.youtube.com/watch?v=Q81LqByQm64', 'title': 'How To: Load Setup File of Multiple Instruments in MissionOS'}, {'url': 'https://www.youtube.com/watch?v=5yKOTbHho70', 'title': 'How To: Load Calibration File of Multiple Instruments in MissionOS'}, {'url': 'https://www.youtube.com/watch?v=8_x3ui96ycw', 'title': 'How To: Download Data in MissionOS'}]"
038853bc-1a5e-4b9f-b33f-8bf3ff0db204,https://www.maxwellgeosystems.com/manuals/demo-manual/manual-web-content-highlight.php?manual_id=41,"Refer the following figure to view the options available in Contour panel. The contour options display data based on the selected contour types. You can customize the portal to add instrument type data and lead to its display in the contour view. The information that is displayed here depends on the characteristics of the contour classes like survey level and settlement options, water pressure, soil stratum and soil thickness which corresponds to what material type you select. In the portal Homepage, select the Contours button to open the Contours panel on the right-hand side. ![image:db://images/167](db://images/167) Figure 4 : Click Contours You can view various Contour options here which are selectable and can be modified based on your preferences. ![image:db://images/168](db://images/168) Figure 5 : Contour Class Options Refer to the following table to find a brief description of various settings available in a Contour panel: Contour panel options Description Enable Select the Enable checkbox to enable the contour feature. Contour Class This is a classification of contours based on class. Select from the Contour Class. Contour Type Select from Contour Type. The contour types that appear in the dropdown depends on the Contour Class selected. Grid Size Edit the Grid Size to modify the size of the grid in pixels or metres. Method Choose from the method options which determines how contours are interpolated. Transparency Used to alter the transparency of the contours. Search Radius Determines the size of the search radius. Min. Locations Function is to set the points in the search field before creating the contour. C Map Used for modifying the color scheme. Legend location You can choose to display the legend at various locations near the contour based on the dropdown options. Embed Legend (on or off) Legend is the depiction of color variations of the contour on a scale which is displayed on the map next to the contour. You can switch ON or OFF to control its visibility. Legend label This is the labelling of the Legend which is displayed. Levels Displays the number of levels in the contour. Extend Depicts the extent of the color scale of the legend. Determines contour fill lines outside of range. Contour Fill Alpha Alters the transparency of the Fill in contour. Contour Line Alpha Alters the transparency of the Line in contour. Legend Width Defines the width or the gap between values on the legend scale. Cmin Displays the minimum levels in contour. Cmax Displays the maximum levels in contour. Relative Symbol Size Changes the relative size of the instrument that is represented in the contour map. Filters – Borehole Reference and Depth time range A filter option appears when AGS boreholes contour is selected: · Borehole Reference Date From-To · Borehole Depth From-To ![image:db://images/169](db://images/169)",[]
03949c2f-c586-4347-a7ae-142c98e67ece,https://www.maxwellgeosystems.com/manuals/demo-manual/manual-web-content-highlight.php?manual_id=41,"Version:MissionOS_2.0 MissionOS has the capability to set up and configure Summary templates required for the creation of Consolidated Summary Report of instruments. The Consolidated Summary Reports of instruments differ based on the Object SubTypes you select, depending on whether the instrument is normal , composite or derived . This also serves as a setup for the default Instrument Info table displayed in the Home Page of the application. Follow the instructions in this manual to understand about the Summary Report template creation for normal instruments. To access the Summary functionality, firstly, click open the Data Manager",[]
03f6b5ff-6c4f-464b-93d3-dc709b402654,https://www.maxwellgeosystems.com/manuals/demo-manual/manual-web-content-highlight.php?manual_id=41,"You can search the table for a specific user using the Search functionality. You can edit and delete a user detail. To watch the Web User Manual video on How to Setup Users in MissionOS, simply click on the thumbnail or link below:",[]
0556e62d-0098-469f-8294-e1c74136dc0a,https://www.maxwellgeosystems.com/manuals/demo-manual/manual-web-content-highlight.php?manual_id=41,"Version:MissionOS_2.0 In the MissionOS application, you can create four types of graph templates – Type 1 , Type 2 , Type 3 and Type 4 .",[]
